  N levels =   24          CBMF=    20.987     SST=    7.08 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.670       3.177599     0.048    0.00       1.309
    950.0    -0.429       3.019057     0.051    0.00       1.552
    900.0    -4.163       2.182225     0.053    0.00       1.572
    850.0    -7.700       1.472643     0.056    0.00       1.560
    800.0   -11.316       0.927083     0.057    0.00       1.621
    750.0   -15.069       0.490025     0.059    0.00       1.590
    700.0   -19.017       0.243360     0.060    0.00       1.515
    650.0   -23.419       0.136864     0.061    0.00       1.395
    600.0   -28.314       0.078315     0.063    0.00       1.250
    550.0   -33.690       0.029935     0.066    0.00       1.047
    500.0   -39.699       0.021457     0.069    0.00       0.962
    450.0   -46.365       0.018912     0.073    0.00       0.999
    400.0   -53.677       0.016109     0.077    0.00       0.902
    350.0   -61.774       0.014898     0.085    0.00       0.788
    300.0   -70.530       0.005013     0.096    0.00       0.498
    250.0   -74.475       0.003296     0.117    0.00       0.318
    200.0   -72.617       0.001000     0.153    0.00       0.166
    150.0   -73.103       0.001000     0.202    0.00       0.041
    100.0   -71.396       0.001000     0.405    0.00      -0.004
     80.0   -68.107       0.001000     0.755    0.00      -0.013
     60.0   -60.517       0.001000     2.042    0.00      -0.032
     40.0   -50.389       0.001000     5.238    0.00      -0.057
     30.0   -42.278       0.001000     8.440    0.00      -0.077
     25.0   -26.131       0.001000    10.124    0.00      -0.118
