 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 19.990                 11.270                  0.786              
   950.000                 15.803                 11.037                  0.969              
   900.000                 13.634                  8.425                  0.819              
   850.000                 10.805                  6.831                  0.783              
   800.000                  8.003                  5.386                  0.733              
   750.000                  5.070                  4.162                  0.691              
   700.000                  1.802                  3.262                  0.658              
   650.000                 -1.940                  2.416                  0.626              
   600.000                 -5.425                  1.647                  0.589              
   550.000                 -9.480                  1.174                  0.559              
   500.000                -14.451                  0.951                  0.539              
   450.000                -20.390                  0.630                  0.514              
   400.000                -27.159                  0.275                  0.449              
   350.000                -35.130                  0.155                  0.416              
   300.000                -44.468                  0.096                  0.365              
   250.000                -55.433                  0.048                  0.489              
   200.000                -68.111                  0.011                  0.673              
   150.000                -68.708                  0.001                  0.714              
   100.000                -65.586                  0.001                  0.417              
    80.000                -61.784                  0.001                  0.027              
    60.000                -54.673                  0.001                  0.009              
    40.000                -45.637                  0.001                  0.003              
    30.000                -39.113                  0.001                  0.001              
    25.000                -26.931                  0.001                  0.000              
