 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.978                  2.988                  0.647              
   950.000                 -1.119                  2.828                  0.821              
   900.000                 -4.904                  2.008                  0.734              
   850.000                 -8.461                  1.343                  0.648              
   800.000                -12.123                  0.845                  0.542              
   750.000                -15.898                  0.441                  0.409              
   700.000                -19.884                  0.229                  0.300              
   650.000                -24.349                  0.126                  0.232              
   600.000                -29.258                  0.065                  0.190              
   550.000                -34.640                  0.025                  0.157              
   500.000                -40.673                  0.019                  0.188              
   450.000                -47.338                  0.016                  0.290              
   400.000                -54.655                  0.014                  0.472              
   350.000                -62.742                  0.013                  0.850              
   300.000                -71.321                  0.004                  0.943              
   250.000                -74.968                  0.003                  0.991              
   200.000                -73.596                  0.001                  0.254              
   150.000                -74.151                  0.001                  0.144              
   100.000                -72.282                  0.001                  0.071              
    80.000                -68.806                  0.001                  0.036              
    60.000                -61.054                  0.001                  0.010              
    40.000                -50.763                  0.001                  0.002              
    30.000                -42.491                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
