  N levels =   24          CBMF=    18.109     SST=    9.74 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     6.890       4.095418     0.048    0.00       1.171
    950.0     2.804       3.911419     0.051    0.00       1.467
    900.0    -0.781       3.060602     0.053    0.00       1.444
    850.0    -4.163       2.138769     0.056    0.00       1.483
    800.0    -7.652       1.419581     0.057    0.00       1.586
    750.0   -11.291       0.837735     0.059    0.00       1.568
    700.0   -15.123       0.445352     0.060    0.00       1.449
    650.0   -19.417       0.232700     0.061    0.00       1.292
    600.0   -24.274       0.126751     0.063    0.00       1.114
    550.0   -29.734       0.075885     0.066    0.00       0.937
    500.0   -35.758       0.048402     0.069    0.00       0.866
    450.0   -42.325       0.030884     0.073    0.00       0.852
    400.0   -49.553       0.019313     0.077    0.00       0.746
    350.0   -57.670       0.014731     0.085    0.00       0.586
    300.0   -66.695       0.008637     0.096    0.00       0.382
    250.0   -73.563       0.003797     0.117    0.00       0.163
    200.0   -71.234       0.001000     0.153    0.00       0.050
    150.0   -72.406       0.001000     0.202    0.00      -0.007
    100.0   -71.436       0.001000     0.405    0.00      -0.017
     80.0   -68.358       0.001000     0.755    0.00      -0.048
     60.0   -60.489       0.001000     2.042    0.00      -0.127
     40.0   -50.051       0.001000     5.238    0.00      -0.231
     30.0   -41.922       0.001000     8.440    0.00      -0.312
     25.0   -26.173       0.001000    10.124    0.00      -0.470
