 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.971                  2.986                  0.626              
   950.000                 -1.126                  2.826                  0.799              
   900.000                 -4.912                  2.008                  0.729              
   850.000                 -8.468                  1.342                  0.639              
   800.000                -12.130                  0.846                  0.526              
   750.000                -15.911                  0.439                  0.385              
   700.000                -19.894                  0.225                  0.271              
   650.000                -24.350                  0.122                  0.203              
   600.000                -29.255                  0.066                  0.166              
   550.000                -34.649                  0.025                  0.132              
   500.000                -40.681                  0.019                  0.169              
   450.000                -47.346                  0.016                  0.282              
   400.000                -54.662                  0.014                  0.498              
   350.000                -62.750                  0.013                  0.952              
   300.000                -71.329                  0.004                  1.004              
   250.000                -74.970                  0.003                  1.000              
   200.000                -73.599                  0.001                  0.197              
   150.000                -74.154                  0.001                  0.160              
   100.000                -72.285                  0.001                  0.085              
    80.000                -68.809                  0.001                  0.043              
    60.000                -61.057                  0.001                  0.012              
    40.000                -50.765                  0.001                  0.002              
    30.000                -42.492                  0.001                  0.001              
    25.000                -26.079                  0.001                  0.000              
