  N levels =   24          CBMF=    20.544     SST=    7.82 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.675       3.351538     0.048    0.00       0.982
    950.0     0.589       3.175480     0.051    0.00       1.365
    900.0    -3.214       2.352110     0.053    0.00       1.400
    850.0    -6.718       1.604191     0.056    0.00       1.503
    800.0   -10.293       1.035012     0.057    0.00       1.637
    750.0   -14.023       0.611333     0.059    0.00       1.612
    700.0   -18.022       0.302439     0.060    0.00       1.496
    650.0   -22.336       0.159926     0.061    0.00       1.323
    600.0   -27.197       0.088758     0.063    0.00       1.110
    550.0   -32.562       0.040295     0.066    0.00       0.820
    500.0   -38.577       0.025468     0.069    0.00       0.656
    450.0   -45.314       0.023355     0.073    0.00       0.650
    400.0   -52.649       0.017584     0.077    0.00       0.504
    350.0   -60.733       0.013373     0.085    0.00       0.435
    300.0   -69.688       0.005732     0.096    0.00       0.167
    250.0   -74.257       0.003410     0.117    0.00       0.030
    200.0   -73.035       0.001000     0.153    0.00       0.016
    150.0   -74.072       0.001000     0.202    0.00       0.002
    100.0   -73.137       0.001000     0.405    0.00       0.000
     80.0   -70.554       0.001000     0.755    0.00      -0.004
     60.0   -64.112       0.001000     2.042    0.00      -0.015
     40.0   -55.464       0.001000     5.238    0.00      -0.029
     30.0   -48.981       0.001000     8.440    0.00      -0.040
     25.0   -37.493       0.001000    10.124    0.00      -0.060
