  N levels =   24          CBMF=    13.884     SST=   16.42 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    13.682       6.813925     0.048    0.00       1.214
    950.0     9.543       6.629367     0.051    0.00       1.295
    900.0     6.433       5.071218     0.053    0.00       1.257
    850.0     2.885       4.021497     0.056    0.00       1.217
    800.0    -0.722       3.008348     0.057    0.00       1.308
    750.0    -3.877       1.850001     0.059    0.00       1.428
    700.0    -7.252       1.050095     0.060    0.00       1.510
    650.0   -10.883       0.541327     0.061    0.00       1.460
    600.0   -14.924       0.256897     0.063    0.00       1.319
    550.0   -19.542       0.118887     0.066    0.00       1.135
    500.0   -24.924       0.063331     0.069    0.00       0.973
    450.0   -31.248       0.056249     0.073    0.00       0.917
    400.0   -38.643       0.104020     0.077    0.00       0.887
    350.0   -47.135       0.126710     0.085    0.00       0.739
    300.0   -56.660       0.028461     0.096    0.00       0.616
    250.0   -67.129       0.009929     0.117    0.00       0.277
    200.0   -65.488       0.001000     0.153    0.00       0.017
    150.0   -67.413       0.001000     0.202    0.00      -0.057
    100.0   -68.836       0.001000     0.405    0.00      -0.043
     80.0   -68.864       0.001000     0.755    0.00      -0.043
     60.0   -66.801       0.001000     2.042    0.00      -0.064
     40.0   -64.746       0.001000     5.238    0.00      -0.084
     30.0   -65.688       0.001000     8.440    0.00      -0.075
     25.0   -71.598       0.001000    10.124    0.00      -0.015
