 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.153                  3.225                  0.642              
   950.000                  0.072                  3.053                  0.810              
   900.000                 -3.745                  2.251                  0.745              
   850.000                 -7.274                  1.535                  0.679              
   800.000                -10.896                  0.987                  0.563              
   750.000                -14.654                  0.536                  0.418              
   700.000                -18.596                  0.255                  0.308              
   650.000                -22.978                  0.141                  0.243              
   600.000                -27.850                  0.064                  0.212              
   550.000                -33.221                  0.031                  0.204              
   500.000                -39.272                  0.023                  0.249              
   450.000                -45.943                  0.020                  0.415              
   400.000                -53.217                  0.015                  0.680              
   350.000                -61.273                  0.013                  0.873              
   300.000                -70.183                  0.005                  1.012              
   250.000                -74.380                  0.003                  0.999              
   200.000                -72.660                  0.001                  0.179              
   150.000                -73.239                  0.001                  0.146              
   100.000                -71.600                  0.001                  0.086              
    80.000                -68.234                  0.001                  0.048              
    60.000                -60.555                  0.001                  0.015              
    40.000                -50.385                  0.001                  0.004              
    30.000                -42.250                  0.001                  0.001              
    25.000                -26.138                  0.001                  0.000              
