 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.853                  3.727                  0.661              
   950.000                  1.763                  3.550                  0.832              
   900.000                 -2.004                  2.752                  0.745              
   850.000                 -5.539                  1.934                  0.679              
   800.000                 -9.109                  1.184                  0.567              
   750.000                -12.667                  0.587                  0.425              
   700.000                -16.511                  0.262                  0.310              
   650.000                -20.798                  0.116                  0.237              
   600.000                -25.580                  0.056                  0.196              
   550.000                -30.932                  0.032                  0.186              
   500.000                -36.886                  0.023                  0.229              
   450.000                -43.478                  0.020                  0.394              
   400.000                -50.770                  0.018                  0.636              
   350.000                -58.956                  0.018                  0.724              
   300.000                -67.969                  0.007                  1.001              
   250.000                -73.921                  0.004                  1.004              
   200.000                -72.215                  0.001                  0.158              
   150.000                -73.171                  0.001                  0.124              
   100.000                -72.372                  0.001                  0.080              
    80.000                -69.907                  0.001                  0.048              
    60.000                -63.583                  0.001                  0.016              
    40.000                -55.080                  0.001                  0.004              
    30.000                -48.737                  0.001                  0.002              
    25.000                -37.553                  0.001                  0.000              
