  N levels =   24          CBMF=    14.407     SST=   14.68 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    11.892       5.955575     0.048    0.00       1.109
    950.0     7.769       5.762127     0.051    0.00       1.290
    900.0     4.564       4.226534     0.053    0.00       1.284
    850.0     1.090       3.125600     0.056    0.00       1.323
    800.0    -2.355       2.146360     0.057    0.00       1.496
    750.0    -5.439       1.215348     0.059    0.00       1.607
    700.0    -8.851       0.655533     0.060    0.00       1.567
    650.0   -12.664       0.342708     0.061    0.00       1.396
    600.0   -17.059       0.187999     0.063    0.00       1.139
    550.0   -22.189       0.122622     0.066    0.00       0.900
    500.0   -28.126       0.100523     0.069    0.00       0.766
    450.0   -34.855       0.094462     0.073    0.00       0.814
    400.0   -42.341       0.091385     0.077    0.00       0.838
    350.0   -50.665       0.064387     0.085    0.00       0.676
    300.0   -59.973       0.022273     0.096    0.00       0.522
    250.0   -69.878       0.006632     0.117    0.00       0.077
    200.0   -66.467       0.001000     0.153    0.00       0.007
    150.0   -67.702       0.001000     0.202    0.00      -0.013
    100.0   -68.961       0.001000     0.405    0.00      -0.010
     80.0   -69.035       0.001000     0.755    0.00      -0.010
     60.0   -66.968       0.001000     2.042    0.00      -0.015
     40.0   -64.677       0.001000     5.238    0.00      -0.021
     30.0   -65.212       0.001000     8.440    0.00      -0.019
     25.0   -70.164       0.001000    10.124    0.00      -0.008
