  N levels =   24          CBMF=    19.040     SST=    9.53 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     6.622       3.957024     0.048    0.00       1.158
    950.0     2.533       3.770027     0.051    0.00       1.434
    900.0    -1.135       2.895310     0.053    0.00       1.429
    850.0    -4.544       2.005555     0.056    0.00       1.476
    800.0    -7.992       1.308100     0.057    0.00       1.597
    750.0   -11.570       0.790171     0.059    0.00       1.602
    700.0   -15.421       0.455824     0.060    0.00       1.501
    650.0   -19.697       0.273963     0.061    0.00       1.341
    600.0   -24.480       0.161192     0.063    0.00       1.138
    550.0   -29.841       0.098013     0.066    0.00       0.930
    500.0   -35.949       0.083768     0.069    0.00       0.828
    450.0   -42.772       0.082074     0.073    0.00       0.844
    400.0   -50.152       0.049181     0.077    0.00       0.750
    350.0   -58.254       0.020074     0.085    0.00       0.595
    300.0   -67.150       0.008273     0.096    0.00       0.389
    250.0   -73.571       0.003787     0.117    0.00       0.107
    200.0   -71.531       0.001000     0.153    0.00       0.046
    150.0   -72.490       0.001000     0.202    0.00      -0.003
    100.0   -71.844       0.001000     0.405    0.00      -0.007
     80.0   -69.464       0.001000     0.755    0.00      -0.019
     60.0   -63.187       0.001000     2.042    0.00      -0.050
     40.0   -54.769       0.001000     5.238    0.00      -0.092
     30.0   -48.554       0.001000     8.440    0.00      -0.123
     25.0   -37.598       0.001000    10.124    0.00      -0.178
