  N levels =   24          CBMF=     9.982     SST=   28.90 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    26.367      17.164148     0.048    0.00       1.973
    950.0    22.129      16.893620     0.051    0.00       1.140
    900.0    20.394      13.631404     0.053    0.00       1.812
    850.0    17.767      11.681360     0.056    0.00       1.694
    800.0    15.352      10.008346     0.057    0.00       1.805
    750.0    12.719       8.562867     0.059    0.00       1.829
    700.0     9.925       7.175748     0.060    0.00       1.849
    650.0     7.059       5.647439     0.061    0.00       1.857
    600.0     3.917       4.214282     0.063    0.00       1.861
    550.0    -0.046       3.284747     0.066    0.00       1.889
    500.0    -4.771       2.588241     0.069    0.00       1.969
    450.0    -9.539       1.776113     0.073    0.00       2.074
    400.0   -15.116       1.057090     0.077    0.00       2.218
    350.0   -21.760       0.464824     0.085    0.00       2.346
    300.0   -30.020       0.202420     0.096    0.00       2.142
    250.0   -40.787       0.168262     0.117    0.00       2.207
    200.0   -53.803       0.094873     0.153    0.00       1.654
    150.0   -68.705       0.013177     0.202    0.00       1.086
    100.0   -68.423       0.001000     0.405    0.00       0.129
     80.0   -61.950       0.001000     0.755    0.00      -0.112
     60.0   -53.818       0.001000     2.042    0.00      -0.193
     40.0   -44.872       0.001000     5.238    0.00      -0.283
     30.0   -38.549       0.001000     8.440    0.00      -0.346
     25.0   -27.021       0.001000    10.124    0.00      -0.461
