 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 23.368                 14.219                  0.792              
   950.000                 19.150                 13.969                  0.974              
   900.000                 17.301                 10.942                  0.834              
   850.000                 14.679                  9.122                  0.808              
   800.000                 12.126                  7.395                  0.768              
   750.000                  9.486                  6.019                  0.732              
   700.000                  6.416                  4.976                  0.698              
   650.000                  2.934                  4.112                  0.661              
   600.000                 -1.055                  3.249                  0.620              
   550.000                 -4.808                  2.382                  0.590              
   500.000                 -9.204                  1.742                  0.560              
   450.000                -14.449                  1.142                  0.532              
   400.000                -20.619                  0.590                  0.496              
   350.000                -28.015                  0.248                  0.442              
   300.000                -37.004                  0.134                  0.359              
   250.000                -47.755                  0.060                  0.412              
   200.000                -60.938                  0.030                  0.530              
   150.000                -70.486                  0.003                  0.752              
   100.000                -66.192                  0.001                  0.608              
    80.000                -61.118                  0.001                  0.050              
    60.000                -53.779                  0.001                  0.008              
    40.000                -44.965                  0.001                  0.003              
    30.000                -38.671                  0.001                  0.001              
    25.000                -27.042                  0.001                  0.000              
