  N levels =   24          CBMF=    19.394     SST=   10.38 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     7.505       4.211793     0.048    0.00       1.229
    950.0     3.405       4.016807     0.051    0.00       1.509
    900.0    -0.281       3.133665     0.053    0.00       1.465
    850.0    -3.702       2.218031     0.056    0.00       1.485
    800.0    -7.113       1.449929     0.057    0.00       1.585
    750.0   -10.597       0.849712     0.059    0.00       1.577
    700.0   -14.345       0.531926     0.060    0.00       1.472
    650.0   -18.580       0.351210     0.061    0.00       1.315
    600.0   -23.322       0.226624     0.063    0.00       1.134
    550.0   -28.628       0.132657     0.066    0.00       0.963
    500.0   -34.660       0.104209     0.069    0.00       0.906
    450.0   -41.567       0.116802     0.073    0.00       0.922
    400.0   -49.015       0.066709     0.077    0.00       0.832
    350.0   -57.215       0.024406     0.085    0.00       0.622
    300.0   -66.071       0.009638     0.096    0.00       0.464
    250.0   -73.275       0.003968     0.117    0.00       0.184
    200.0   -70.695       0.001000     0.153    0.00       0.065
    150.0   -71.929       0.001000     0.202    0.00      -0.012
    100.0   -71.045       0.001000     0.405    0.00      -0.021
     80.0   -67.996       0.001000     0.755    0.00      -0.051
     60.0   -60.150       0.001000     2.042    0.00      -0.130
     40.0   -49.774       0.001000     5.238    0.00      -0.234
     30.0   -41.735       0.001000     8.440    0.00      -0.314
     25.0   -26.222       0.001000    10.124    0.00      -0.469
