  N levels =   24          CBMF=     9.707     SST=   31.11 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    28.704      19.848177     0.048    0.00       2.020
    950.0    24.448      19.569256     0.051    0.00       0.341
    900.0    22.845      16.072645     0.053    0.00       1.400
    850.0    20.307      13.963145     0.056    0.00       1.357
    800.0    17.985      12.155632     0.057    0.00       1.567
    750.0    15.460      10.597516     0.059    0.00       1.703
    700.0    12.785       9.113603     0.060    0.00       1.823
    650.0    10.136       7.331142     0.061    0.00       1.933
    600.0     7.134       5.729452     0.063    0.00       2.023
    550.0     3.458       4.493254     0.066    0.00       2.115
    500.0    -0.870       3.330195     0.069    0.00       2.222
    450.0    -4.972       2.276350     0.073    0.00       2.352
    400.0   -10.241       1.714756     0.077    0.00       2.544
    350.0   -17.465       1.607959     0.085    0.00       2.469
    300.0   -24.940       0.404671     0.096    0.00       2.714
    250.0   -35.030       0.238027     0.117    0.00       2.557
    200.0   -47.738       0.117816     0.153    0.00       2.194
    150.0   -64.111       0.025386     0.202    0.00       1.392
    100.0   -71.154       0.002026     0.405    0.00       0.356
     80.0   -60.673       0.001000     0.755    0.00      -0.068
     60.0   -52.082       0.001000     2.042    0.00      -0.141
     40.0   -43.864       0.001000     5.238    0.00      -0.195
     30.0   -38.053       0.001000     8.440    0.00      -0.234
     25.0   -27.200       0.001000    10.124    0.00      -0.306
