 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 28.704                 19.848                  0.799              
   950.000                 24.448                 19.569                  0.977              
   900.000                 22.845                 16.073                  0.845              
   850.000                 20.307                 13.963                  0.835              
   800.000                 17.985                 12.156                  0.816              
   750.000                 15.460                 10.598                  0.800              
   700.000                 12.785                  9.114                  0.786              
   650.000                 10.136                  7.331                  0.774              
   600.000                  7.134                  5.729                  0.762              
   550.000                  3.458                  4.493                  0.743              
   500.000                 -0.870                  3.330                  0.722              
   450.000                 -4.972                  2.276                  0.703              
   400.000                -10.241                  1.715                  0.696              
   350.000                -17.465                  1.608                  0.668              
   300.000                -24.940                  0.405                  0.620              
   250.000                -35.030                  0.238                  0.509              
   200.000                -47.738                  0.118                  0.537              
   150.000                -64.111                  0.025                  0.765              
   100.000                -71.154                  0.002                  0.720              
    80.000                -60.673                  0.001                  0.069              
    60.000                -52.082                  0.001                  0.009              
    40.000                -43.864                  0.001                  0.003              
    30.000                -38.053                  0.001                  0.001              
    25.000                -27.200                  0.001                  0.000              
