  N levels =   24          CBMF=    21.230     SST=    7.77 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.613       3.338100     0.048    0.00       0.973
    950.0     0.525       3.164031     0.051    0.00       1.372
    900.0    -3.324       2.357366     0.053    0.00       1.405
    850.0    -6.887       1.632073     0.056    0.00       1.506
    800.0   -10.490       1.029984     0.057    0.00       1.637
    750.0   -14.155       0.517832     0.059    0.00       1.608
    700.0   -18.038       0.271773     0.060    0.00       1.511
    650.0   -22.439       0.119891     0.061    0.00       1.344
    600.0   -27.208       0.072792     0.063    0.00       1.140
    550.0   -32.586       0.038609     0.066    0.00       0.821
    500.0   -38.572       0.019522     0.069    0.00       0.636
    450.0   -45.219       0.019978     0.073    0.00       0.623
    400.0   -52.592       0.021949     0.077    0.00       0.483
    350.0   -60.805       0.017128     0.085    0.00       0.433
    300.0   -69.724       0.005654     0.096    0.00       0.154
    250.0   -74.291       0.003391     0.117    0.00       0.040
    200.0   -73.107       0.001000     0.153    0.00       0.015
    150.0   -74.139       0.001000     0.202    0.00       0.003
    100.0   -73.187       0.001000     0.405    0.00       0.000
     80.0   -70.593       0.001000     0.755    0.00      -0.002
     60.0   -64.142       0.001000     2.042    0.00      -0.010
     40.0   -55.486       0.001000     5.238    0.00      -0.019
     30.0   -48.994       0.001000     8.440    0.00      -0.026
     25.0   -37.490       0.001000    10.124    0.00      -0.041
