 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.746                  3.695                  0.654              
   950.000                  1.661                  3.518                  0.824              
   900.000                 -2.052                  2.699                  0.746              
   850.000                 -5.529                  1.869                  0.678              
   800.000                 -9.097                  1.208                  0.562              
   750.000                -12.787                  0.661                  0.417              
   700.000                -16.662                  0.321                  0.301              
   650.000                -21.015                  0.156                  0.231              
   600.000                -25.887                  0.081                  0.194              
   550.000                -31.330                  0.048                  0.188              
   500.000                -37.334                  0.032                  0.235              
   450.000                -43.901                  0.023                  0.408              
   400.000                -51.121                  0.016                  0.664              
   350.000                -59.205                  0.013                  0.752              
   300.000                -68.159                  0.007                  1.005              
   250.000                -73.989                  0.004                  1.001              
   200.000                -72.374                  0.001                  0.159              
   150.000                -73.336                  0.001                  0.132              
   100.000                -72.510                  0.001                  0.085              
    80.000                -70.035                  0.001                  0.050              
    60.000                -63.686                  0.001                  0.017              
    40.000                -55.141                  0.001                  0.004              
    30.000                -48.774                  0.001                  0.002              
    25.000                -37.544                  0.001                  0.000              
