 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  7.135                  4.164                  0.673              
   950.000                  3.049                  3.976                  0.846              
   900.000                 -0.509                  3.095                  0.733              
   850.000                 -3.858                  2.151                  0.686              
   800.000                 -7.271                  1.434                  0.582              
   750.000                -10.869                  0.917                  0.443              
   700.000                -14.775                  0.545                  0.343              
   650.000                -19.044                  0.303                  0.282              
   600.000                -23.825                  0.169                  0.257              
   550.000                -29.269                  0.107                  0.268              
   500.000                -35.416                  0.079                  0.338              
   450.000                -42.079                  0.053                  0.520              
   400.000                -49.347                  0.028                  0.751              
   350.000                -57.456                  0.017                  0.867              
   300.000                -66.477                  0.009                  1.051              
   250.000                -73.424                  0.004                  0.999              
   200.000                -70.978                  0.001                  0.175              
   150.000                -72.180                  0.001                  0.134              
   100.000                -71.250                  0.001                  0.088              
    80.000                -68.188                  0.001                  0.055              
    60.000                -60.330                  0.001                  0.020              
    40.000                -49.923                  0.001                  0.006              
    30.000                -41.838                  0.001                  0.002              
    25.000                -26.197                  0.001                  0.001              
