 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 22.492                 13.412                  0.791              
   950.000                 18.283                 13.169                  0.973              
   900.000                 16.365                 10.231                  0.831              
   850.000                 13.701                  8.456                  0.802              
   800.000                 11.105                  6.772                  0.760              
   750.000                  8.429                  5.429                  0.723              
   700.000                  5.318                  4.432                  0.691              
   650.000                  1.798                  3.620                  0.656              
   600.000                 -2.220                  2.811                  0.619              
   550.000                 -6.063                  2.029                  0.590              
   500.000                -10.584                  1.475                  0.563              
   450.000                -15.955                  0.915                  0.533              
   400.000                -22.299                  0.470                  0.471              
   350.000                -29.864                  0.214                  0.436              
   300.000                -38.968                  0.116                  0.355              
   250.000                -49.818                  0.058                  0.427              
   200.000                -62.918                  0.023                  0.560              
   150.000                -69.958                  0.002                  0.751              
   100.000                -65.899                  0.001                  0.544              
    80.000                -61.215                  0.001                  0.024              
    60.000                -53.990                  0.001                  0.008              
    40.000                -45.122                  0.001                  0.003              
    30.000                -38.770                  0.001                  0.001              
    25.000                -27.016                  0.001                  0.000              
