  N levels =   24          CBMF=    19.122     SST=    8.73 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.738       3.676425     0.048    0.00       0.980
    950.0     1.654       3.495419     0.051    0.00       1.314
    900.0    -2.041       2.645663     0.053    0.00       1.376
    850.0    -5.466       1.808686     0.056    0.00       1.467
    800.0    -8.971       1.184508     0.057    0.00       1.591
    750.0   -12.655       0.734906     0.059    0.00       1.571
    700.0   -16.641       0.413394     0.060    0.00       1.425
    650.0   -20.978       0.215221     0.061    0.00       1.255
    600.0   -25.797       0.112702     0.063    0.00       1.041
    550.0   -31.236       0.068157     0.066    0.00       0.808
    500.0   -37.363       0.052467     0.069    0.00       0.683
    450.0   -44.034       0.039467     0.073    0.00       0.677
    400.0   -51.302       0.022842     0.077    0.00       0.514
    350.0   -59.362       0.014926     0.085    0.00       0.449
    300.0   -68.265       0.006890     0.096    0.00       0.182
    250.0   -74.094       0.003490     0.117    0.00       0.064
    200.0   -72.711       0.001000     0.153    0.00      -0.003
    150.0   -73.823       0.001000     0.202    0.00       0.004
    100.0   -73.027       0.001000     0.405    0.00      -0.001
     80.0   -70.476       0.001000     0.755    0.00      -0.018
     60.0   -63.958       0.001000     2.042    0.00      -0.061
     40.0   -55.289       0.001000     5.238    0.00      -0.119
     30.0   -48.850       0.001000     8.440    0.00      -0.162
     25.0   -37.488       0.001000    10.124    0.00      -0.237
