 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.738                  3.676                  0.639              
   950.000                  1.654                  3.495                  0.807              
   900.000                 -2.041                  2.646                  0.763              
   850.000                 -5.466                  1.809                  0.682              
   800.000                 -8.971                  1.185                  0.567              
   750.000                -12.655                  0.735                  0.425              
   700.000                -16.641                  0.413                  0.313              
   650.000                -20.978                  0.215                  0.254              
   600.000                -25.797                  0.113                  0.228              
   550.000                -31.236                  0.068                  0.229              
   500.000                -37.363                  0.052                  0.285              
   450.000                -44.034                  0.039                  0.470              
   400.000                -51.302                  0.023                  0.776              
   350.000                -59.362                  0.015                  0.805              
   300.000                -68.265                  0.007                  0.999              
   250.000                -74.094                  0.003                  0.998              
   200.000                -72.711                  0.001                  0.182              
   150.000                -73.823                  0.001                  0.166              
   100.000                -73.027                  0.001                  0.106              
    80.000                -70.476                  0.001                  0.066              
    60.000                -63.958                  0.001                  0.024              
    40.000                -55.289                  0.001                  0.006              
    30.000                -48.850                  0.001                  0.003              
    25.000                -37.488                  0.001                  0.001              
