 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.827                  3.732                  0.649              
   950.000                  1.738                  3.555                  0.822              
   900.000                 -2.030                  2.730                  0.772              
   850.000                 -5.584                  1.930                  0.702              
   800.000                 -9.116                  1.150                  0.606              
   750.000                -12.586                  0.560                  0.488              
   700.000                -16.492                  0.307                  0.401              
   650.000                -20.786                  0.173                  0.360              
   600.000                -25.554                  0.098                  0.360              
   550.000                -30.891                  0.058                  0.385              
   500.000                -36.819                  0.032                  0.478              
   450.000                -43.417                  0.027                  0.670              
   400.000                -50.778                  0.041                  0.994              
   350.000                -59.021                  0.019                  1.013              
   300.000                -67.949                  0.007                  1.000              
   250.000                -73.493                  0.004                  0.996              
   200.000                -72.753                  0.001                  0.186              
   150.000                -74.069                  0.001                  0.164              
   100.000                -73.607                  0.001                  0.108              
    80.000                -71.580                  0.001                  0.075              
    60.000                -64.754                  0.001                  0.033              
    40.000                -54.023                  0.001                  0.011              
    30.000                -44.518                  0.001                  0.005              
    25.000                -25.997                  0.001                  0.001              
