 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  6.482                  3.933                  0.698              
   950.000                  2.392                  3.748                  0.874              
   900.000                 -1.327                  2.876                  0.747              
   850.000                 -4.827                  2.043                  0.690              
   800.000                 -8.288                  1.301                  0.594              
   750.000                -11.796                  0.689                  0.477              
   700.000                -15.553                  0.370                  0.381              
   650.000                -19.829                  0.247                  0.312              
   600.000                -24.650                  0.144                  0.265              
   550.000                -29.924                  0.077                  0.246              
   500.000                -35.867                  0.063                  0.281              
   450.000                -42.666                  0.106                  0.406              
   400.000                -50.156                  0.084                  0.557              
   350.000                -58.337                  0.020                  0.666              
   300.000                -67.172                  0.008                  0.884              
   250.000                -73.443                  0.004                  1.069              
   200.000                -70.618                  0.001                  0.334              
   150.000                -71.009                  0.001                  0.114              
   100.000                -69.606                  0.001                  0.058              
    80.000                -66.508                  0.001                  0.035              
    60.000                -59.160                  0.001                  0.012              
    40.000                -49.361                  0.001                  0.003              
    30.000                -41.626                  0.001                  0.001              
    25.000                -26.305                  0.001                  0.000              
