  N levels =   24          CBMF=    14.766     SST=   13.77 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    10.836       5.586819     0.048    0.00       1.691
    950.0     6.722       5.388839     0.051    0.00       1.755
    900.0     3.532       3.844101     0.053    0.00       1.727
    850.0     0.118       2.796829     0.056    0.00       1.579
    800.0    -3.279       1.944370     0.057    0.00       1.562
    750.0    -6.463       1.130265     0.059    0.00       1.553
    700.0    -9.913       0.629310     0.060    0.00       1.527
    650.0   -13.870       0.360106     0.061    0.00       1.469
    600.0   -18.457       0.225406     0.063    0.00       1.383
    550.0   -23.764       0.161986     0.066    0.00       1.300
    500.0   -29.789       0.126705     0.069    0.00       1.321
    450.0   -36.472       0.096787     0.073    0.00       1.436
    400.0   -43.866       0.061537     0.077    0.00       1.378
    350.0   -52.085       0.026965     0.085    0.00       1.201
    300.0   -61.409       0.018113     0.096    0.00       0.939
    250.0   -70.826       0.005755     0.117    0.00       0.645
    200.0   -68.778       0.001000     0.153    0.00       0.264
    150.0   -69.063       0.001000     0.202    0.00       0.043
    100.0   -67.658       0.001000     0.405    0.00      -0.037
     80.0   -64.687       0.001000     0.755    0.00      -0.056
     60.0   -57.439       0.001000     2.042    0.00      -0.105
     40.0   -47.897       0.001000     5.238    0.00      -0.168
     30.0   -40.644       0.001000     8.440    0.00      -0.217
     25.0   -26.548       0.001000    10.124    0.00      -0.310
