 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 23.088                 13.957                  0.786              
   950.000                 18.874                 13.711                  0.971              
   900.000                 17.001                 10.717                  0.809              
   850.000                 14.364                  8.913                  0.765              
   800.000                 11.796                  7.200                  0.709              
   750.000                  9.150                  5.828                  0.664              
   700.000                  6.069                  4.798                  0.632              
   650.000                  2.577                  3.946                  0.599              
   600.000                 -1.418                  3.091                  0.563              
   550.000                 -5.194                  2.252                  0.541              
   500.000                 -9.642                  1.674                  0.523              
   450.000                -14.934                  1.043                  0.511              
   400.000                -21.134                  0.532                  0.449              
   350.000                -28.590                  0.239                  0.352              
   300.000                -37.627                  0.140                  0.362              
   250.000                -48.437                  0.068                  0.630              
   200.000                -61.579                  0.027                  1.117              
   150.000                -71.356                  0.003                  0.798              
   100.000                -68.942                  0.001                  0.071              
    80.000                -66.422                  0.001                  0.050              
    60.000                -59.612                  0.001                  0.023              
    40.000                -49.472                  0.001                  0.008              
    30.000                -41.421                  0.001                  0.004              
    25.000                -26.708                  0.001                  0.001              
