 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  6.418                  3.916                  0.677              
   950.000                  2.333                  3.731                  0.850              
   900.000                 -1.290                  2.858                  0.741              
   850.000                 -4.671                  1.971                  0.685              
   800.000                 -8.129                  1.303                  0.583              
   750.000                -11.759                  0.821                  0.452              
   700.000                -15.694                  0.489                  0.343              
   650.000                -20.008                  0.269                  0.272              
   600.000                -24.796                  0.149                  0.233              
   550.000                -30.242                  0.095                  0.229              
   500.000                -36.396                  0.074                  0.280              
   450.000                -43.081                  0.054                  0.443              
   400.000                -50.346                  0.029                  0.657              
   350.000                -58.419                  0.017                  0.797              
   300.000                -67.357                  0.008                  1.041              
   250.000                -73.591                  0.004                  1.007              
   200.000                -70.986                  0.001                  0.158              
   150.000                -71.693                  0.001                  0.118              
   100.000                -70.416                  0.001                  0.076              
    80.000                -67.231                  0.001                  0.045              
    60.000                -59.612                  0.001                  0.015              
    40.000                -49.622                  0.001                  0.004              
    30.000                -41.749                  0.001                  0.002              
    25.000                -26.262                  0.001                  0.000              
