  N levels =   24          CBMF=    20.940     SST=    8.05 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.938       3.465505     0.048    0.00       1.520
    950.0     0.852       3.290985     0.051    0.00       1.473
    900.0    -2.959       2.480070     0.053    0.00       1.640
    850.0    -6.521       1.725428     0.056    0.00       1.590
    800.0   -10.120       1.048203     0.057    0.00       1.656
    750.0   -13.699       0.502882     0.059    0.00       1.646
    700.0   -17.533       0.237219     0.060    0.00       1.590
    650.0   -21.897       0.130983     0.061    0.00       1.505
    600.0   -26.742       0.060113     0.063    0.00       1.393
    550.0   -32.127       0.028647     0.066    0.00       1.283
    500.0   -38.120       0.021489     0.069    0.00       1.262
    450.0   -44.730       0.019501     0.073    0.00       1.323
    400.0   -52.015       0.017886     0.077    0.00       1.280
    350.0   -60.190       0.017386     0.085    0.00       1.206
    300.0   -69.119       0.006185     0.096    0.00       0.953
    250.0   -73.950       0.003576     0.117    0.00       0.786
    200.0   -71.643       0.001000     0.153    0.00       0.502
    150.0   -72.025       0.001000     0.202    0.00       0.279
    100.0   -70.470       0.001000     0.405    0.00       0.037
     80.0   -67.296       0.001000     0.755    0.00      -0.015
     60.0   -59.868       0.001000     2.042    0.00      -0.033
     40.0   -49.932       0.001000     5.238    0.00      -0.058
     30.0   -41.979       0.001000     8.440    0.00      -0.078
     25.0   -26.204       0.001000    10.124    0.00      -0.117
