 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.938                  3.466                  0.716              
   950.000                  0.852                  3.291                  0.893              
   900.000                 -2.959                  2.480                  0.774              
   850.000                 -6.521                  1.725                  0.720              
   800.000                -10.120                  1.048                  0.636              
   750.000                -13.699                  0.503                  0.538              
   700.000                -17.533                  0.237                  0.460              
   650.000                -21.897                  0.131                  0.402              
   600.000                -26.742                  0.060                  0.359              
   550.000                -32.127                  0.029                  0.338              
   500.000                -38.120                  0.021                  0.353              
   450.000                -44.730                  0.020                  0.431              
   400.000                -52.015                  0.018                  0.537              
   350.000                -60.190                  0.017                  0.594              
   300.000                -69.119                  0.006                  0.703              
   250.000                -73.950                  0.004                  0.801              
   200.000                -71.643                  0.001                  0.373              
   150.000                -72.025                  0.001                  0.319              
   100.000                -70.470                  0.001                  0.194              
    80.000                -67.296                  0.001                  0.024              
    60.000                -59.868                  0.001                  0.007              
    40.000                -49.932                  0.001                  0.002              
    30.000                -41.979                  0.001                  0.001              
    25.000                -26.204                  0.001                  0.000              
