 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  6.226                  3.848                  0.648              
   950.000                  2.135                  3.669                  0.817              
   900.000                 -1.624                  2.849                  0.751              
   850.000                 -5.174                  2.024                  0.694              
   800.000                 -8.700                  1.210                  0.574              
   750.000                -12.145                  0.575                  0.431              
   700.000                -15.960                  0.260                  0.320              
   650.000                -20.199                  0.133                  0.260              
   600.000                -24.960                  0.080                  0.233              
   550.000                -30.288                  0.038                  0.233              
   500.000                -36.240                  0.026                  0.289              
   450.000                -42.899                  0.040                  0.480              
   400.000                -50.306                  0.060                  0.746              
   350.000                -58.539                  0.019                  0.802              
   300.000                -67.522                  0.008                  1.008              
   250.000                -73.841                  0.004                  0.999              
   200.000                -72.245                  0.001                  0.186              
   150.000                -73.337                  0.001                  0.153              
   100.000                -72.627                  0.001                  0.099              
    80.000                -70.125                  0.001                  0.062              
    60.000                -63.680                  0.001                  0.023              
    40.000                -55.074                  0.001                  0.006              
    30.000                -48.707                  0.001                  0.002              
    25.000                -37.524                  0.001                  0.001              
