  N levels =   24          CBMF=    19.765     SST=    8.02 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.931       3.452226     0.048    0.00       1.142
    950.0     0.850       3.276907     0.051    0.00       1.460
    900.0    -2.892       2.456698     0.053    0.00       1.460
    850.0    -6.373       1.683569     0.056    0.00       1.511
    800.0    -9.955       1.102582     0.057    0.00       1.617
    750.0   -13.708       0.642711     0.059    0.00       1.595
    700.0   -17.675       0.323730     0.060    0.00       1.478
    650.0   -22.010       0.155006     0.061    0.00       1.314
    600.0   -26.861       0.077743     0.063    0.00       1.111
    550.0   -32.307       0.045540     0.066    0.00       0.905
    500.0   -38.378       0.033145     0.069    0.00       0.806
    450.0   -45.007       0.025332     0.073    0.00       0.809
    400.0   -52.252       0.017348     0.077    0.00       0.671
    350.0   -60.306       0.013729     0.085    0.00       0.545
    300.0   -69.178       0.006008     0.096    0.00       0.315
    250.0   -74.062       0.003514     0.117    0.00       0.099
    200.0   -72.031       0.001000     0.153    0.00       0.044
    150.0   -72.573       0.001000     0.202    0.00      -0.003
    100.0   -71.020       0.001000     0.405    0.00      -0.011
     80.0   -67.733       0.001000     0.755    0.00      -0.027
     60.0   -60.130       0.001000     2.042    0.00      -0.065
     40.0   -50.064       0.001000     5.238    0.00      -0.115
     30.0   -42.066       0.001000     8.440    0.00      -0.155
     25.0   -26.183       0.001000    10.124    0.00      -0.235
