 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.021                  3.189                  0.638              
   950.000                 -0.062                  3.018                  0.806              
   900.000                 -3.913                  2.219                  0.745              
   850.000                 -7.476                  1.524                  0.676              
   800.000                -11.103                  0.966                  0.561              
   750.000                -14.816                  0.494                  0.415              
   700.000                -18.735                  0.268                  0.307              
   650.000                -23.196                  0.130                  0.243              
   600.000                -28.032                  0.062                  0.213              
   550.000                -33.376                  0.028                  0.203              
   500.000                -39.384                  0.021                  0.248              
   450.000                -46.024                  0.019                  0.412              
   400.000                -53.329                  0.017                  0.676              
   350.000                -61.463                  0.015                  0.873              
   300.000                -70.329                  0.005                  1.009              
   250.000                -74.452                  0.003                  0.999              
   200.000                -72.773                  0.001                  0.185              
   150.000                -73.376                  0.001                  0.150              
   100.000                -71.704                  0.001                  0.088              
    80.000                -68.316                  0.001                  0.049              
    60.000                -60.627                  0.001                  0.016              
    40.000                -50.433                  0.001                  0.004              
    30.000                -42.279                  0.001                  0.001              
    25.000                -26.131                  0.001                  0.000              
