 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  4.609                  3.335                  0.625              
   950.000                  0.522                  3.159                  0.791              
   900.000                 -3.310                  2.338                  0.741              
   850.000                 -6.836                  1.596                  0.658              
   800.000                -10.403                  1.007                  0.540              
   750.000                -14.067                  0.560                  0.381              
   700.000                -18.021                  0.315                  0.266              
   650.000                -22.431                  0.171                  0.195              
   600.000                -27.281                  0.093                  0.160              
   550.000                -32.631                  0.041                  0.135              
   500.000                -38.581                  0.025                  0.161              
   450.000                -45.306                  0.026                  0.288              
   400.000                -52.725                  0.022                  0.513              
   350.000                -60.870                  0.015                  0.785              
   300.000                -69.748                  0.006                  1.001              
   250.000                -74.293                  0.003                  0.999              
   200.000                -73.111                  0.001                  0.189              
   150.000                -74.143                  0.001                  0.164              
   100.000                -73.189                  0.001                  0.097              
    80.000                -70.594                  0.001                  0.054              
    60.000                -64.143                  0.001                  0.017              
    40.000                -55.487                  0.001                  0.004              
    30.000                -48.995                  0.001                  0.001              
    25.000                -37.490                  0.001                  0.000              
