 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 11.825                  6.043                  0.749              
   950.000                  7.705                  5.841                  0.932              
   900.000                  4.590                  4.225                  0.769              
   850.000                  1.179                  3.153                  0.712              
   800.000                 -2.201                  2.204                  0.641              
   750.000                 -5.251                  1.310                  0.563              
   700.000                 -8.675                  0.759                  0.495              
   650.000                -12.525                  0.436                  0.437              
   600.000                -16.968                  0.268                  0.389              
   550.000                -22.152                  0.200                  0.363              
   500.000                -28.152                  0.187                  0.373              
   450.000                -34.876                  0.144                  0.423              
   400.000                -42.282                  0.085                  0.456              
   350.000                -50.562                  0.056                  0.515              
   300.000                -59.856                  0.023                  0.597              
   250.000                -69.894                  0.007                  0.859              
   200.000                -68.584                  0.001                  0.721              
   150.000                -68.658                  0.001                  0.277              
   100.000                -67.145                  0.001                  0.052              
    80.000                -64.228                  0.001                  0.032              
    60.000                -57.029                  0.001                  0.012              
    40.000                -47.571                  0.001                  0.003              
    30.000                -40.423                  0.001                  0.002              
    25.000                -26.603                  0.001                  0.000              
