  N levels =   24          CBMF=    20.537     SST=    8.16 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.082       3.507538     0.048    0.00       1.075
    950.0     0.997       3.332917     0.051    0.00       1.406
    900.0    -2.788       2.522120     0.053    0.00       1.424
    850.0    -6.328       1.751958     0.056    0.00       1.494
    800.0    -9.930       1.112370     0.057    0.00       1.613
    750.0   -13.609       0.559654     0.059    0.00       1.582
    700.0   -17.439       0.240705     0.060    0.00       1.448
    650.0   -21.764       0.107876     0.061    0.00       1.286
    600.0   -26.600       0.053048     0.063    0.00       1.086
    550.0   -32.012       0.031519     0.066    0.00       0.879
    500.0   -38.009       0.022774     0.069    0.00       0.764
    450.0   -44.605       0.018953     0.073    0.00       0.744
    400.0   -51.861       0.014719     0.077    0.00       0.599
    350.0   -59.964       0.013393     0.085    0.00       0.501
    300.0   -68.950       0.006355     0.096    0.00       0.244
    250.0   -74.101       0.003493     0.117    0.00       0.097
    200.0   -72.256       0.001000     0.153    0.00       0.027
    150.0   -72.987       0.001000     0.202    0.00      -0.001
    100.0   -71.500       0.001000     0.405    0.00      -0.011
     80.0   -68.172       0.001000     0.755    0.00      -0.033
     60.0   -60.408       0.001000     2.042    0.00      -0.085
     40.0   -50.185       0.001000     5.238    0.00      -0.153
     30.0   -42.101       0.001000     8.440    0.00      -0.207
     25.0   -26.146       0.001000    10.124    0.00      -0.313
