  N levels =   24          CBMF=    21.564     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.983       2.988690     0.048    0.00       0.846
    950.0    -1.114       2.829111     0.051    0.00       1.394
    900.0    -4.899       2.008553     0.053    0.00       1.425
    850.0    -8.456       1.343017     0.056    0.00       1.508
    800.0   -12.116       0.844763     0.057    0.00       1.607
    750.0   -15.891       0.444519     0.059    0.00       1.580
    700.0   -19.883       0.231351     0.060    0.00       1.475
    650.0   -24.348       0.126526     0.061    0.00       1.325
    600.0   -29.254       0.064028     0.063    0.00       1.133
    550.0   -34.634       0.025137     0.066    0.00       0.715
    500.0   -40.667       0.019184     0.069    0.00       0.548
    450.0   -47.332       0.016230     0.073    0.00       0.487
    400.0   -54.648       0.013845     0.077    0.00       0.358
    350.0   -62.736       0.013346     0.085    0.00       0.354
    300.0   -71.316       0.004448     0.096    0.00       0.060
    250.0   -74.966       0.003053     0.117    0.00       0.027
    200.0   -73.594       0.001000     0.153    0.00       0.005
    150.0   -74.149       0.001000     0.202    0.00       0.002
    100.0   -72.280       0.001000     0.405    0.00      -0.001
     80.0   -68.805       0.001000     0.755    0.00      -0.008
     60.0   -61.053       0.001000     2.042    0.00      -0.024
     40.0   -50.761       0.001000     5.238    0.00      -0.044
     30.0   -42.490       0.001000     8.440    0.00      -0.061
     25.0   -26.079       0.001000    10.124    0.00      -0.095
