  N levels =   24          CBMF=    13.980     SST=   15.54 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    12.789       6.393153     0.048    0.00       1.170
    950.0     8.661       6.196126     0.051    0.00       1.287
    900.0     5.532       4.583127     0.053    0.00       1.263
    850.0     2.078       3.456027     0.056    0.00       1.260
    800.0    -1.354       2.434483     0.057    0.00       1.400
    750.0    -4.398       1.424515     0.059    0.00       1.527
    700.0    -7.751       0.790023     0.060    0.00       1.555
    650.0   -11.477       0.419638     0.061    0.00       1.448
    600.0   -15.764       0.227619     0.063    0.00       1.243
    550.0   -20.785       0.141739     0.066    0.00       1.020
    500.0   -26.641       0.110840     0.069    0.00       0.861
    450.0   -33.352       0.102259     0.073    0.00       0.873
    400.0   -40.849       0.095878     0.077    0.00       0.890
    350.0   -49.181       0.065798     0.085    0.00       0.730
    300.0   -58.511       0.020601     0.096    0.00       0.549
    250.0   -69.006       0.007566     0.117    0.00       0.162
    200.0   -65.453       0.001000     0.153    0.00       0.008
    150.0   -66.836       0.001000     0.202    0.00      -0.032
    100.0   -68.309       0.001000     0.405    0.00      -0.024
     80.0   -68.520       0.001000     0.755    0.00      -0.023
     60.0   -66.624       0.001000     2.042    0.00      -0.033
     40.0   -64.711       0.001000     5.238    0.00      -0.042
     30.0   -65.696       0.001000     8.440    0.00      -0.037
     25.0   -71.602       0.001000    10.124    0.00      -0.007
