  N levels =   24          CBMF=    13.953     SST=   15.68 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    12.857       6.526860     0.048    0.00       1.440
    950.0     8.730       6.320682     0.051    0.00       1.575
    900.0     5.687       4.608509     0.053    0.00       1.490
    850.0     2.292       3.507998     0.056    0.00       1.404
    800.0    -1.079       2.510324     0.057    0.00       1.465
    750.0    -4.075       1.531269     0.059    0.00       1.515
    700.0    -7.426       0.903346     0.060    0.00       1.525
    650.0   -11.181       0.521317     0.061    0.00       1.427
    600.0   -15.524       0.313887     0.063    0.00       1.263
    550.0   -20.609       0.214859     0.066    0.00       1.088
    500.0   -26.498       0.172020     0.069    0.00       0.999
    450.0   -33.177       0.154529     0.073    0.00       1.057
    400.0   -40.602       0.114100     0.077    0.00       1.096
    350.0   -48.891       0.059514     0.085    0.00       0.928
    300.0   -58.244       0.021960     0.096    0.00       0.752
    250.0   -68.781       0.007713     0.117    0.00       0.437
    200.0   -68.595       0.001000     0.153    0.00       0.140
    150.0   -71.430       0.001000     0.202    0.00      -0.034
    100.0   -72.017       0.001000     0.405    0.00      -0.023
     80.0   -70.477       0.001000     0.755    0.00      -0.054
     60.0   -64.537       0.001000     2.042    0.00      -0.172
     40.0   -55.708       0.001000     5.238    0.00      -0.349
     30.0   -48.954       0.001000     8.440    0.00      -0.484
     25.0   -37.597       0.001000    10.124    0.00      -0.711
