  N levels =   24          CBMF=    13.993     SST=   15.55 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    12.791       6.400209     0.048    0.00       1.187
    950.0     8.663       6.202524     0.051    0.00       1.302
    900.0     5.538       4.583295     0.053    0.00       1.273
    850.0     2.086       3.456683     0.056    0.00       1.261
    800.0    -1.342       2.435305     0.057    0.00       1.391
    750.0    -4.383       1.426417     0.059    0.00       1.513
    700.0    -7.734       0.792043     0.060    0.00       1.546
    650.0   -11.458       0.421143     0.061    0.00       1.446
    600.0   -15.745       0.228681     0.063    0.00       1.251
    550.0   -20.772       0.142670     0.066    0.00       1.036
    500.0   -26.635       0.111609     0.069    0.00       0.879
    450.0   -33.347       0.103727     0.073    0.00       0.886
    400.0   -40.843       0.099650     0.077    0.00       0.899
    350.0   -49.163       0.063073     0.085    0.00       0.745
    300.0   -58.495       0.020122     0.096    0.00       0.570
    250.0   -69.024       0.007543     0.117    0.00       0.195
    200.0   -65.879       0.001000     0.153    0.00       0.014
    150.0   -67.373       0.001000     0.202    0.00      -0.038
    100.0   -68.746       0.001000     0.405    0.00      -0.029
     80.0   -68.833       0.001000     0.755    0.00      -0.029
     60.0   -66.762       0.001000     2.042    0.00      -0.043
     40.0   -64.494       0.001000     5.238    0.00      -0.058
     30.0   -65.070       0.001000     8.440    0.00      -0.054
     25.0   -70.172       0.001000    10.124    0.00      -0.019
