 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 11.834                  6.022                  0.725              
   950.000                  7.713                  5.822                  0.906              
   900.000                  4.581                  4.220                  0.747              
   850.000                  1.160                  3.139                  0.685              
   800.000                 -2.232                  2.184                  0.610              
   750.000                 -5.290                  1.285                  0.516              
   700.000                 -8.714                  0.733                  0.424              
   650.000                -12.563                  0.412                  0.344              
   600.000                -17.007                  0.246                  0.281              
   550.000                -22.181                  0.173                  0.254              
   500.000                -28.147                  0.150                  0.280              
   450.000                -34.881                  0.146                  0.386              
   400.000                -42.312                  0.089                  0.531              
   350.000                -50.577                  0.047                  0.686              
   300.000                -59.894                  0.022                  0.867              
   250.000                -70.026                  0.006                  1.040              
   200.000                -68.737                  0.001                  0.278              
   150.000                -70.021                  0.001                  0.138              
   100.000                -69.917                  0.001                  0.074              
    80.000                -67.877                  0.001                  0.051              
    60.000                -61.613                  0.001                  0.021              
    40.000                -53.321                  0.001                  0.006              
    30.000                -47.545                  0.001                  0.003              
    25.000                -37.822                  0.001                  0.001              
