  N levels =   24          CBMF=    14.036     SST=   15.53 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    12.679       6.462087     0.048    0.00       1.515
    950.0     8.554       6.255063     0.051    0.00       1.656
    900.0     5.512       4.544601     0.053    0.00       1.564
    850.0     2.122       3.458673     0.056    0.00       1.463
    800.0    -1.241       2.473678     0.057    0.00       1.507
    750.0    -4.240       1.515037     0.059    0.00       1.544
    700.0    -7.606       0.901765     0.060    0.00       1.539
    650.0   -11.380       0.526746     0.061    0.00       1.451
    600.0   -15.739       0.322328     0.063    0.00       1.292
    550.0   -20.842       0.229154     0.066    0.00       1.123
    500.0   -26.771       0.197390     0.069    0.00       1.039
    450.0   -33.479       0.185388     0.073    0.00       1.103
    400.0   -40.857       0.095777     0.077    0.00       1.100
    350.0   -49.141       0.057004     0.085    0.00       0.994
    300.0   -58.489       0.022544     0.096    0.00       0.774
    250.0   -68.953       0.007544     0.117    0.00       0.466
    200.0   -68.383       0.001000     0.153    0.00       0.161
    150.0   -71.302       0.001000     0.202    0.00      -0.037
    100.0   -71.480       0.001000     0.405    0.00      -0.033
     80.0   -69.444       0.001000     0.755    0.00      -0.074
     60.0   -62.447       0.001000     2.042    0.00      -0.214
     40.0   -51.877       0.001000     5.238    0.00      -0.425
     30.0   -43.058       0.001000     8.440    0.00      -0.602
     25.0   -26.343       0.001000    10.124    0.00      -0.936
