 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 25.322                 15.226                  0.749              
   950.000                 21.051                 15.081                  0.925              
   900.000                 19.252                 12.012                  0.777              
   850.000                 16.506                 10.271                  0.749              
   800.000                 13.904                  8.540                  0.694              
   750.000                 11.186                  6.861                  0.632              
   700.000                  8.363                  5.523                  0.584              
   650.000                  5.080                  4.470                  0.557              
   600.000                  1.350                  3.618                  0.546              
   550.000                 -2.951                  2.771                  0.541              
   500.000                 -7.123                  1.971                  0.501              
   450.000                -12.161                  1.429                  0.503              
   400.000                -18.057                  0.714                  0.398              
   350.000                -25.199                  0.324                  0.313              
   300.000                -33.940                  0.151                  0.299              
   250.000                -44.585                  0.070                  0.464              
   200.000                -57.823                  0.045                  1.058              
   150.000                -71.387                  0.009                  0.984              
   100.000                -67.843                  0.001                  0.053              
    80.000                -66.093                  0.001                  0.036              
    60.000                -63.146                  0.001                  0.018              
    40.000                -59.154                  0.001                  0.007              
    30.000                -57.824                  0.001                  0.004              
    25.000                -58.765                  0.001                  0.004              
