  N levels =   24          CBMF=    20.566     SST=    8.78 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.768       3.711823     0.048    0.00       1.516
    950.0     1.679       3.534967     0.051    0.00       1.613
    900.0    -2.100       2.714411     0.053    0.00       1.659
    850.0    -5.660       1.919165     0.056    0.00       1.587
    800.0    -9.182       1.136304     0.057    0.00       1.625
    750.0   -12.627       0.552478     0.059    0.00       1.603
    700.0   -16.521       0.285563     0.060    0.00       1.540
    650.0   -20.816       0.165753     0.061    0.00       1.452
    600.0   -25.605       0.099599     0.063    0.00       1.334
    550.0   -30.947       0.052025     0.066    0.00       1.215
    500.0   -36.876       0.033089     0.069    0.00       1.183
    450.0   -43.497       0.037128     0.073    0.00       1.251
    400.0   -50.893       0.057913     0.077    0.00       1.199
    350.0   -59.119       0.018630     0.085    0.00       1.076
    300.0   -68.015       0.007274     0.096    0.00       0.772
    250.0   -73.690       0.003722     0.117    0.00       0.546
    200.0   -70.975       0.001000     0.153    0.00       0.300
    150.0   -71.310       0.001000     0.202    0.00       0.086
    100.0   -69.841       0.001000     0.405    0.00      -0.019
     80.0   -66.734       0.001000     0.755    0.00      -0.021
     60.0   -59.416       0.001000     2.042    0.00      -0.046
     40.0   -49.589       0.001000     5.238    0.00      -0.079
     30.0   -41.773       0.001000     8.440    0.00      -0.105
     25.0   -26.256       0.001000    10.124    0.00      -0.156
