 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 14.485                  7.297                  0.700              
   950.000                 10.342                  7.099                  0.875              
   900.000                  7.454                  5.228                  0.741              
   850.000                  4.157                  3.995                  0.681              
   800.000                  0.810                  2.971                  0.591              
   750.000                 -2.704                  2.024                  0.501              
   700.000                 -5.890                  1.196                  0.376              
   650.000                 -9.485                  0.698                  0.276              
   600.000                -13.631                  0.410                  0.210              
   550.000                -18.500                  0.250                  0.179              
   500.000                -24.173                  0.156                  0.189              
   450.000                -30.647                  0.097                  0.255              
   400.000                -37.912                  0.059                  0.418              
   350.000                -46.047                  0.035                  0.693              
   300.000                -55.391                  0.023                  0.835              
   250.000                -66.053                  0.012                  0.998              
   200.000                -62.274                  0.001                  0.064              
   150.000                -63.799                  0.001                  0.048              
   100.000                -65.865                  0.001                  0.041              
    80.000                -66.603                  0.001                  0.035              
    60.000                -65.470                  0.001                  0.022              
    40.000                -64.933                  0.001                  0.013              
    30.000                -67.682                  0.001                  0.014              
    25.000                -77.306                  0.001                  0.046              
