  N levels =   24          CBMF=    21.517     SST=    6.48 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.001       2.993313     0.048    0.00       1.129
    950.0    -1.096       2.833892     0.051    0.00       1.408
    900.0    -4.878       2.014484     0.053    0.00       1.520
    850.0    -8.433       1.347040     0.056    0.00       1.543
    800.0   -12.095       0.849885     0.057    0.00       1.628
    750.0   -15.880       0.442224     0.059    0.00       1.618
    700.0   -19.859       0.223394     0.060    0.00       1.542
    650.0   -24.307       0.122497     0.061    0.00       1.428
    600.0   -29.217       0.067020     0.063    0.00       1.271
    550.0   -34.614       0.025597     0.066    0.00       0.966
    500.0   -40.648       0.019619     0.069    0.00       0.863
    450.0   -47.313       0.016649     0.073    0.00       0.856
    400.0   -54.628       0.014199     0.077    0.00       0.773
    350.0   -62.714       0.013390     0.085    0.00       0.754
    300.0   -71.297       0.004476     0.096    0.00       0.484
    250.0   -74.965       0.003054     0.117    0.00       0.407
    200.0   -73.589       0.001000     0.153    0.00       0.271
    150.0   -74.143       0.001000     0.202    0.00       0.166
    100.0   -72.275       0.001000     0.405    0.00       0.034
     80.0   -68.800       0.001000     0.755    0.00      -0.004
     60.0   -61.048       0.001000     2.042    0.00      -0.013
     40.0   -50.757       0.001000     5.238    0.00      -0.024
     30.0   -42.487       0.001000     8.440    0.00      -0.034
     25.0   -26.080       0.001000    10.124    0.00      -0.053
