 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.968                  2.985                  0.650              
   950.000                 -1.129                  2.826                  0.825              
   900.000                 -4.914                  2.008                  0.736              
   850.000                 -8.471                  1.342                  0.651              
   800.000                -12.134                  0.846                  0.546              
   750.000                -15.918                  0.440                  0.416              
   700.000                -19.901                  0.222                  0.310              
   650.000                -24.351                  0.121                  0.242              
   600.000                -29.256                  0.066                  0.201              
   550.000                -34.651                  0.025                  0.166              
   500.000                -40.683                  0.019                  0.196              
   450.000                -47.349                  0.016                  0.293              
   400.000                -54.666                  0.014                  0.467              
   350.000                -62.753                  0.013                  0.839              
   300.000                -71.332                  0.004                  0.917              
   250.000                -74.971                  0.003                  0.966              
   200.000                -73.601                  0.001                  0.283              
   150.000                -74.155                  0.001                  0.180              
   100.000                -72.286                  0.001                  0.070              
    80.000                -68.810                  0.001                  0.035              
    60.000                -61.058                  0.001                  0.010              
    40.000                -50.765                  0.001                  0.002              
    30.000                -42.493                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
