 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  3.198                  3.044                  0.689              
   950.000                 -0.899                  2.885                  0.864              
   900.000                 -4.662                  2.058                  0.762              
   850.000                 -8.200                  1.369                  0.695              
   800.000                -11.833                  0.868                  0.604              
   750.000                -15.636                  0.502                  0.495              
   700.000                -19.694                  0.240                  0.405              
   650.000                -24.087                  0.112                  0.344              
   600.000                -28.942                  0.060                  0.302              
   550.000                -34.332                  0.026                  0.273              
   500.000                -40.372                  0.020                  0.292              
   450.000                -47.040                  0.017                  0.374              
   400.000                -54.359                  0.015                  0.502              
   350.000                -62.454                  0.014                  0.706              
   300.000                -71.059                  0.005                  0.785              
   250.000                -74.833                  0.003                  0.847              
   200.000                -73.274                  0.001                  0.309              
   150.000                -73.790                  0.001                  0.271              
   100.000                -71.995                  0.001                  0.179              
    80.000                -68.606                  0.001                  0.027              
    60.000                -60.902                  0.001                  0.008              
    40.000                -50.667                  0.001                  0.002              
    30.000                -42.434                  0.001                  0.001              
    25.000                -26.093                  0.001                  0.000              
