 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  2.967                  2.983                  0.624              
   950.000                 -1.130                  2.823                  0.798              
   900.000                 -4.916                  2.001                  0.726              
   850.000                 -8.474                  1.337                  0.633              
   800.000                -12.131                  0.842                  0.522              
   750.000                -15.903                  0.464                  0.381              
   700.000                -19.938                  0.248                  0.265              
   650.000                -24.411                  0.123                  0.197              
   600.000                -29.289                  0.058                  0.159              
   550.000                -34.656                  0.025                  0.123              
   500.000                -40.694                  0.019                  0.159              
   450.000                -47.358                  0.016                  0.266              
   400.000                -54.672                  0.014                  0.475              
   350.000                -62.759                  0.013                  0.964              
   300.000                -71.337                  0.004                  1.003              
   250.000                -74.973                  0.003                  1.000              
   200.000                -73.603                  0.001                  0.201              
   150.000                -74.158                  0.001                  0.163              
   100.000                -72.288                  0.001                  0.085              
    80.000                -68.812                  0.001                  0.043              
    60.000                -61.059                  0.001                  0.011              
    40.000                -50.767                  0.001                  0.002              
    30.000                -42.494                  0.001                  0.001              
    25.000                -26.078                  0.001                  0.000              
