  N levels =   24          CBMF=    14.561     SST=   14.32 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    11.499       5.783816     0.048    0.00       1.151
    950.0     7.379       5.591390     0.051    0.00       1.329
    900.0     4.152       4.080585     0.053    0.00       1.310
    850.0     0.681       2.987486     0.056    0.00       1.330
    800.0    -2.762       2.031627     0.057    0.00       1.482
    750.0    -5.866       1.140756     0.059    0.00       1.580
    700.0    -9.309       0.612336     0.060    0.00       1.550
    650.0   -13.163       0.320757     0.061    0.00       1.393
    600.0   -17.604       0.178176     0.063    0.00       1.158
    550.0   -22.777       0.119108     0.066    0.00       0.935
    500.0   -28.743       0.100484     0.069    0.00       0.813
    450.0   -35.485       0.097730     0.073    0.00       0.842
    400.0   -42.987       0.094324     0.077    0.00       0.880
    350.0   -51.274       0.043903     0.085    0.00       0.705
    300.0   -60.571       0.020819     0.096    0.00       0.546
    250.0   -70.300       0.006225     0.117    0.00       0.132
    200.0   -67.313       0.001000     0.153    0.00       0.019
    150.0   -68.681       0.001000     0.202    0.00      -0.023
    100.0   -69.826       0.001000     0.405    0.00      -0.017
     80.0   -69.718       0.001000     0.755    0.00      -0.017
     60.0   -67.224       0.001000     2.042    0.00      -0.030
     40.0   -64.136       0.001000     5.238    0.00      -0.045
     30.0   -63.727       0.001000     8.440    0.00      -0.047
     25.0   -66.648       0.001000    10.124    0.00      -0.032
