  N levels =   24          CBMF=    20.998     SST=    7.95 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     4.809       3.413581     0.048    0.00       1.505
    950.0     0.722       3.238315     0.051    0.00       1.492
    900.0    -3.099       2.419471     0.053    0.00       1.641
    850.0    -6.651       1.680703     0.056    0.00       1.592
    800.0   -10.237       1.063082     0.057    0.00       1.655
    750.0   -13.876       0.537011     0.059    0.00       1.640
    700.0   -17.729       0.294057     0.060    0.00       1.580
    650.0   -22.153       0.133343     0.061    0.00       1.492
    600.0   -26.915       0.076068     0.063    0.00       1.375
    550.0   -32.271       0.039657     0.066    0.00       1.258
    500.0   -38.249       0.022113     0.069    0.00       1.229
    450.0   -44.890       0.023223     0.073    0.00       1.296
    400.0   -52.265       0.025645     0.077    0.00       1.239
    350.0   -60.510       0.017967     0.085    0.00       1.186
    300.0   -69.334       0.005992     0.096    0.00       0.909
    250.0   -74.002       0.003547     0.117    0.00       0.723
    200.0   -71.751       0.001000     0.153    0.00       0.445
    150.0   -72.149       0.001000     0.202    0.00       0.256
    100.0   -70.571       0.001000     0.405    0.00       0.025
     80.0   -67.392       0.001000     0.755    0.00      -0.014
     60.0   -59.935       0.001000     2.042    0.00      -0.033
     40.0   -49.984       0.001000     5.238    0.00      -0.058
     30.0   -42.011       0.001000     8.440    0.00      -0.078
     25.0   -26.197       0.001000    10.124    0.00      -0.117
