  N levels =   24          CBMF=    16.484     SST=   12.48 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     9.622       4.977541     0.048    0.00       1.127
    950.0     5.516       4.800953     0.051    0.00       1.356
    900.0     2.076       3.608858     0.053    0.00       1.342
    850.0    -1.473       2.715765     0.056    0.00       1.391
    800.0    -4.738       1.752730     0.057    0.00       1.546
    750.0    -8.026       1.010613     0.059    0.00       1.602
    700.0   -11.564       0.611747     0.060    0.00       1.535
    650.0   -15.660       0.397362     0.061    0.00       1.367
    600.0   -20.321       0.247996     0.063    0.00       1.147
    550.0   -25.605       0.150498     0.066    0.00       0.930
    500.0   -31.707       0.119504     0.069    0.00       0.825
    450.0   -38.563       0.090687     0.073    0.00       0.841
    400.0   -45.975       0.049915     0.077    0.00       0.841
    350.0   -54.187       0.026296     0.085    0.00       0.612
    300.0   -63.416       0.013692     0.096    0.00       0.478
    250.0   -72.004       0.004807     0.117    0.00       0.109
    200.0   -69.341       0.001000     0.153    0.00       0.029
    150.0   -70.606       0.001000     0.202    0.00      -0.013
    100.0   -71.305       0.001000     0.405    0.00      -0.009
     80.0   -70.590       0.001000     0.755    0.00      -0.013
     60.0   -66.907       0.001000     2.042    0.00      -0.031
     40.0   -61.952       0.001000     5.238    0.00      -0.056
     30.0   -59.478       0.001000     8.440    0.00      -0.069
     25.0   -57.896       0.001000    10.124    0.00      -0.076
