 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  9.622                  4.978                  0.679              
   950.000                  5.516                  4.801                  0.852              
   900.000                  2.076                  3.609                  0.733              
   850.000                 -1.473                  2.716                  0.678              
   800.000                 -4.738                  1.753                  0.573              
   750.000                 -8.026                  1.011                  0.429              
   700.000                -11.564                  0.612                  0.312              
   650.000                -15.660                  0.397                  0.234              
   600.000                -20.321                  0.248                  0.191              
   550.000                -25.605                  0.150                  0.185              
   500.000                -31.707                  0.120                  0.226              
   450.000                -38.563                  0.091                  0.358              
   400.000                -45.975                  0.050                  0.610              
   350.000                -54.187                  0.026                  0.728              
   300.000                -63.416                  0.014                  0.965              
   250.000                -72.004                  0.005                  1.000              
   200.000                -69.341                  0.001                  0.128              
   150.000                -70.606                  0.001                  0.102              
   100.000                -71.305                  0.001                  0.078              
    80.000                -70.590                  0.001                  0.058              
    60.000                -66.907                  0.001                  0.027              
    40.000                -61.952                  0.001                  0.009              
    30.000                -59.478                  0.001                  0.005              
    25.000                -57.896                  0.001                  0.003              
