  N levels =   24          CBMF=    20.775     SST=    8.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.404       3.597315     0.048    0.00       1.571
    950.0     1.315       3.420806     0.051    0.00       1.388
    900.0    -2.486       2.589092     0.053    0.00       1.628
    850.0    -6.055       1.817282     0.056    0.00       1.577
    800.0    -9.582       1.078687     0.057    0.00       1.658
    750.0   -13.046       0.561690     0.059    0.00       1.664
    700.0   -16.998       0.304034     0.060    0.00       1.624
    650.0   -21.353       0.150277     0.061    0.00       1.555
    600.0   -26.125       0.066039     0.063    0.00       1.457
    550.0   -31.423       0.036970     0.066    0.00       1.361
    500.0   -37.392       0.025863     0.069    0.00       1.346
    450.0   -44.045       0.037007     0.073    0.00       1.417
    400.0   -51.444       0.065737     0.077    0.00       1.406
    350.0   -59.646       0.017756     0.085    0.00       1.354
    300.0   -68.523       0.006750     0.096    0.00       1.130
    250.0   -73.804       0.003658     0.117    0.00       0.953
    200.0   -71.249       0.001000     0.153    0.00       0.656
    150.0   -71.591       0.001000     0.202    0.00       0.420
    100.0   -70.086       0.001000     0.405    0.00       0.101
     80.0   -66.964       0.001000     0.755    0.00      -0.015
     60.0   -59.607       0.001000     2.042    0.00      -0.034
     40.0   -49.726       0.001000     5.238    0.00      -0.059
     30.0   -41.856       0.001000     8.440    0.00      -0.078
     25.0   -26.235       0.001000    10.124    0.00      -0.117
