  N levels =   24          CBMF=    21.563     SST=    6.48 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.993       2.991664     0.048    0.00       0.968
    950.0    -1.104       2.832073     0.051    0.00       1.445
    900.0    -4.888       2.013406     0.053    0.00       1.460
    850.0    -8.444       1.346601     0.056    0.00       1.518
    800.0   -12.105       0.848958     0.057    0.00       1.611
    750.0   -15.888       0.441371     0.059    0.00       1.592
    700.0   -19.870       0.223354     0.060    0.00       1.497
    650.0   -24.319       0.121600     0.061    0.00       1.352
    600.0   -29.223       0.066042     0.063    0.00       1.163
    550.0   -34.618       0.025205     0.066    0.00       0.795
    500.0   -40.650       0.019178     0.069    0.00       0.643
    450.0   -47.317       0.016245     0.073    0.00       0.602
    400.0   -54.634       0.013869     0.077    0.00       0.488
    350.0   -62.723       0.013376     0.085    0.00       0.451
    300.0   -71.303       0.004457     0.096    0.00       0.165
    250.0   -74.962       0.003055     0.117    0.00       0.068
    200.0   -73.588       0.001000     0.153    0.00       0.026
    150.0   -74.143       0.001000     0.202    0.00       0.007
    100.0   -72.275       0.001000     0.405    0.00      -0.001
     80.0   -68.800       0.001000     0.755    0.00      -0.007
     60.0   -61.049       0.001000     2.042    0.00      -0.020
     40.0   -50.758       0.001000     5.238    0.00      -0.037
     30.0   -42.488       0.001000     8.440    0.00      -0.051
     25.0   -26.079       0.001000    10.124    0.00      -0.079
