  N levels =   24          CBMF=    21.580     SST=    6.47 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.981       2.988624     0.048    0.00       0.906
    950.0    -1.117       2.828900     0.051    0.00       1.430
    900.0    -4.901       2.010175     0.053    0.00       1.448
    850.0    -8.458       1.344105     0.056    0.00       1.514
    800.0   -12.120       0.845693     0.057    0.00       1.608
    750.0   -15.896       0.436984     0.059    0.00       1.590
    700.0   -19.875       0.226738     0.060    0.00       1.491
    650.0   -24.340       0.124598     0.061    0.00       1.349
    600.0   -29.248       0.064440     0.063    0.00       1.148
    550.0   -34.638       0.025329     0.066    0.00       0.749
    500.0   -40.674       0.019595     0.069    0.00       0.597
    450.0   -47.339       0.016611     0.073    0.00       0.544
    400.0   -54.653       0.014235     0.077    0.00       0.436
    350.0   -62.735       0.013032     0.085    0.00       0.403
    300.0   -71.317       0.004447     0.096    0.00       0.119
    250.0   -74.969       0.003052     0.117    0.00       0.045
    200.0   -73.597       0.001000     0.153    0.00       0.019
    150.0   -74.151       0.001000     0.202    0.00       0.004
    100.0   -72.282       0.001000     0.405    0.00      -0.000
     80.0   -68.806       0.001000     0.755    0.00      -0.005
     60.0   -61.054       0.001000     2.042    0.00      -0.014
     40.0   -50.762       0.001000     5.238    0.00      -0.027
     30.0   -42.491       0.001000     8.440    0.00      -0.038
     25.0   -26.079       0.001000    10.124    0.00      -0.060
