  N levels =   24          CBMF=    21.547     SST=    6.48 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     3.002       2.991658     0.048    0.00       1.014
    950.0    -1.095       2.832137     0.051    0.00       1.472
    900.0    -4.878       2.011017     0.053    0.00       1.492
    850.0    -8.428       1.341235     0.056    0.00       1.530
    800.0   -12.076       0.849774     0.057    0.00       1.605
    750.0   -15.869       0.486286     0.059    0.00       1.585
    700.0   -19.941       0.235896     0.060    0.00       1.493
    650.0   -24.354       0.108878     0.061    0.00       1.361
    600.0   -29.206       0.055564     0.063    0.00       1.183
    550.0   -34.600       0.025006     0.066    0.00       0.831
    500.0   -40.646       0.019560     0.069    0.00       0.705
    450.0   -47.312       0.016594     0.073    0.00       0.679
    400.0   -54.627       0.014172     0.077    0.00       0.570
    350.0   -62.714       0.013399     0.085    0.00       0.519
    300.0   -71.298       0.004476     0.096    0.00       0.233
    250.0   -74.965       0.003054     0.117    0.00       0.136
    200.0   -73.589       0.001000     0.153    0.00       0.061
    150.0   -74.143       0.001000     0.202    0.00       0.017
    100.0   -72.275       0.001000     0.405    0.00      -0.001
     80.0   -68.800       0.001000     0.755    0.00      -0.005
     60.0   -61.048       0.001000     2.042    0.00      -0.015
     40.0   -50.757       0.001000     5.238    0.00      -0.027
     30.0   -42.488       0.001000     8.440    0.00      -0.038
     25.0   -26.080       0.001000    10.124    0.00      -0.060
