  N levels =   24          CBMF=    20.665     SST=    8.54 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.465       3.605127     0.048    0.00       1.469
    950.0     1.376       3.426182     0.051    0.00       1.610
    900.0    -2.417       2.581527     0.053    0.00       1.635
    850.0    -5.960       1.818395     0.056    0.00       1.575
    800.0    -9.487       1.154684     0.057    0.00       1.616
    750.0   -13.080       0.600291     0.059    0.00       1.594
    700.0   -16.915       0.295174     0.060    0.00       1.523
    650.0   -21.199       0.175315     0.061    0.00       1.426
    600.0   -26.026       0.114011     0.063    0.00       1.296
    550.0   -31.384       0.064976     0.066    0.00       1.164
    500.0   -37.335       0.036486     0.069    0.00       1.127
    450.0   -44.048       0.056956     0.073    0.00       1.198
    400.0   -51.496       0.088749     0.077    0.00       1.141
    350.0   -59.673       0.018237     0.085    0.00       0.973
    300.0   -68.461       0.006810     0.096    0.00       0.683
    250.0   -73.808       0.003655     0.117    0.00       0.458
    200.0   -71.253       0.001000     0.153    0.00       0.243
    150.0   -71.608       0.001000     0.202    0.00       0.058
    100.0   -70.104       0.001000     0.405    0.00      -0.012
     80.0   -66.969       0.001000     0.755    0.00      -0.021
     60.0   -59.603       0.001000     2.042    0.00      -0.045
     40.0   -49.717       0.001000     5.238    0.00      -0.078
     30.0   -41.849       0.001000     8.440    0.00      -0.104
     25.0   -26.237       0.001000    10.124    0.00      -0.156
