  N levels =   24          CBMF=    21.608     SST=    6.45 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     2.962       2.983398     0.048    0.00       0.798
    950.0    -1.135       2.823678     0.051    0.00       1.395
    900.0    -4.922       2.007004     0.053    0.00       1.425
    850.0    -8.478       1.342425     0.056    0.00       1.507
    800.0   -12.140       0.848391     0.057    0.00       1.603
    750.0   -15.931       0.445204     0.059    0.00       1.579
    700.0   -19.923       0.218172     0.060    0.00       1.478
    650.0   -24.355       0.116860     0.061    0.00       1.334
    600.0   -29.255       0.064011     0.063    0.00       1.133
    550.0   -34.654       0.024993     0.066    0.00       0.679
    500.0   -40.689       0.019152     0.069    0.00       0.513
    450.0   -47.354       0.016192     0.073    0.00       0.439
    400.0   -54.669       0.013838     0.077    0.00       0.328
    350.0   -62.754       0.013010     0.085    0.00       0.321
    300.0   -71.339       0.004448     0.096    0.00       0.033
    250.0   -74.972       0.003050     0.117    0.00       0.015
    200.0   -73.602       0.001000     0.153    0.00       0.002
    150.0   -74.157       0.001000     0.202    0.00       0.002
    100.0   -72.287       0.001000     0.405    0.00       0.000
     80.0   -68.811       0.001000     0.755    0.00      -0.004
     60.0   -61.059       0.001000     2.042    0.00      -0.012
     40.0   -50.767       0.001000     5.238    0.00      -0.024
     30.0   -42.494       0.001000     8.440    0.00      -0.033
     25.0   -26.078       0.001000    10.124    0.00      -0.054
