  N levels =   24          CBMF=    14.143     SST=   15.17 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    12.296       6.272727     0.048    0.00       1.660
    950.0     8.172       6.068540     0.051    0.00       1.746
    900.0     5.101       4.403230     0.053    0.00       1.678
    850.0     1.704       3.322120     0.056    0.00       1.534
    800.0    -1.668       2.351978     0.057    0.00       1.528
    750.0    -4.690       1.422611     0.059    0.00       1.539
    700.0    -8.086       0.838506     0.060    0.00       1.543
    650.0   -11.903       0.487632     0.061    0.00       1.493
    600.0   -16.311       0.298453     0.063    0.00       1.393
    550.0   -21.453       0.209043     0.066    0.00       1.272
    500.0   -27.388       0.171084     0.069    0.00       1.228
    450.0   -34.083       0.157559     0.073    0.00       1.317
    400.0   -41.510       0.115218     0.077    0.00       1.272
    350.0   -49.791       0.059877     0.085    0.00       1.115
    300.0   -59.124       0.022532     0.096    0.00       0.875
    250.0   -69.435       0.006968     0.117    0.00       0.620
    200.0   -69.171       0.001000     0.153    0.00       0.161
    150.0   -69.340       0.001000     0.202    0.00       0.031
    100.0   -68.369       0.001000     0.405    0.00      -0.048
     80.0   -65.651       0.001000     0.755    0.00      -0.075
     60.0   -58.059       0.001000     2.042    0.00      -0.151
     40.0   -48.085       0.001000     5.238    0.00      -0.251
     30.0   -40.637       0.001000     8.440    0.00      -0.325
     25.0   -26.503       0.001000    10.124    0.00      -0.466
