 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                 12.296                  6.273                  0.738              
   950.000                  8.172                  6.069                  0.920              
   900.000                  5.101                  4.403                  0.757              
   850.000                  1.704                  3.322                  0.697              
   800.000                 -1.668                  2.352                  0.623              
   750.000                 -4.690                  1.423                  0.540              
   700.000                 -8.086                  0.839                  0.462              
   650.000                -11.903                  0.488                  0.394              
   600.000                -16.311                  0.298                  0.339              
   550.000                -21.453                  0.209                  0.307              
   500.000                -27.388                  0.171                  0.329              
   450.000                -34.083                  0.158                  0.405              
   400.000                -41.510                  0.115                  0.486              
   350.000                -49.791                  0.060                  0.625              
   300.000                -59.124                  0.023                  0.773              
   250.000                -69.435                  0.007                  1.138              
   200.000                -69.171                  0.001                  0.551              
   150.000                -69.340                  0.001                  0.135              
   100.000                -68.369                  0.001                  0.065              
    80.000                -65.651                  0.001                  0.043              
    60.000                -58.059                  0.001                  0.017              
    40.000                -48.085                  0.001                  0.005              
    30.000                -40.637                  0.001                  0.002              
    25.000                -26.503                  0.001                  0.001              
