  N levels =   24          CBMF=    20.449     SST=    8.53 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.460       3.599428     0.048    0.00       1.236
    950.0     1.372       3.419138     0.051    0.00       1.511
    900.0    -2.405       2.570525     0.053    0.00       1.497
    850.0    -5.916       1.794152     0.056    0.00       1.518
    800.0    -9.438       1.147253     0.057    0.00       1.611
    750.0   -13.026       0.623126     0.059    0.00       1.602
    700.0   -16.851       0.353094     0.060    0.00       1.504
    650.0   -21.227       0.219182     0.061    0.00       1.361
    600.0   -26.061       0.135454     0.063    0.00       1.168
    550.0   -31.412       0.076033     0.066    0.00       0.970
    500.0   -37.381       0.050351     0.069    0.00       0.869
    450.0   -44.155       0.069944     0.073    0.00       0.882
    400.0   -51.578       0.067382     0.077    0.00       0.765
    350.0   -59.774       0.018250     0.085    0.00       0.645
    300.0   -68.474       0.006798     0.096    0.00       0.403
    250.0   -73.877       0.003616     0.117    0.00       0.153
    200.0   -71.505       0.001000     0.153    0.00       0.060
    150.0   -72.012       0.001000     0.202    0.00      -0.001
    100.0   -70.536       0.001000     0.405    0.00      -0.013
     80.0   -67.333       0.001000     0.755    0.00      -0.029
     60.0   -59.805       0.001000     2.042    0.00      -0.067
     40.0   -49.841       0.001000     5.238    0.00      -0.117
     30.0   -41.905       0.001000     8.440    0.00      -0.156
     25.0   -26.223       0.001000    10.124    0.00      -0.235
