 Pressure (mb)          Temperature (C)        Specific hum. (g/kg)   Relative humidity      
  1000.000                  5.460                  3.599                  0.672              
   950.000                  1.372                  3.419                  0.845              
   900.000                 -2.405                  2.571                  0.744              
   850.000                 -5.916                  1.794                  0.681              
   800.000                 -9.438                  1.147                  0.577              
   750.000                -13.026                  0.623                  0.445              
   700.000                -16.851                  0.353                  0.337              
   650.000                -21.227                  0.219                  0.264              
   600.000                -26.061                  0.135                  0.221              
   550.000                -31.412                  0.076                  0.212              
   500.000                -37.381                  0.050                  0.258              
   450.000                -44.155                  0.070                  0.417              
   400.000                -51.578                  0.067                  0.637              
   350.000                -59.774                  0.018                  0.765              
   300.000                -68.474                  0.007                  1.005              
   250.000                -73.877                  0.004                  1.010              
   200.000                -71.505                  0.001                  0.154              
   150.000                -72.012                  0.001                  0.131              
   100.000                -70.536                  0.001                  0.070              
    80.000                -67.333                  0.001                  0.040              
    60.000                -59.805                  0.001                  0.013              
    40.000                -49.841                  0.001                  0.003              
    30.000                -41.905                  0.001                  0.001              
    25.000                -26.223                  0.001                  0.000              
