  N levels =   24          CBMF=    13.770     SST=   16.00 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0    13.236       6.673494     0.048    0.00       1.290
    950.0     9.106       6.469924     0.051    0.00       1.414
    900.0     6.059       4.761297     0.053    0.00       1.353
    850.0     2.644       3.636901     0.056    0.00       1.298
    800.0    -0.756       2.612050     0.057    0.00       1.383
    750.0    -3.764       1.583883     0.059    0.00       1.465
    700.0    -7.094       0.915732     0.060    0.00       1.492
    650.0   -10.794       0.507179     0.061    0.00       1.397
    600.0   -15.049       0.283907     0.063    0.00       1.223
    550.0   -20.040       0.177602     0.066    0.00       1.035
    500.0   -25.866       0.134498     0.069    0.00       0.915
    450.0   -32.531       0.120282     0.073    0.00       0.978
    400.0   -40.021       0.109215     0.077    0.00       0.992
    350.0   -48.324       0.054846     0.085    0.00       0.842
    300.0   -57.697       0.020275     0.096    0.00       0.689
    250.0   -68.320       0.008178     0.117    0.00       0.374
    200.0   -67.968       0.001000     0.153    0.00       0.090
    150.0   -70.715       0.001000     0.202    0.00      -0.049
    100.0   -71.897       0.001000     0.405    0.00      -0.025
     80.0   -71.353       0.001000     0.755    0.00      -0.036
     60.0   -67.610       0.001000     2.042    0.00      -0.111
     40.0   -62.264       0.001000     5.238    0.00      -0.218
     30.0   -59.519       0.001000     8.440    0.00      -0.273
     25.0   -57.807       0.001000    10.124    0.00      -0.307
