  N levels =   24          CBMF=    20.482     SST=    8.67 C

  Pressure   Temp.      Spec. humid.   O3 mr   Omega   Rad. cooling
    (mb)      (C)          (g/kg)      10**-6 (mb/hr)   (deg/day)
  -------    -----      ------------   -----   -----   ------------
   1000.0     5.615       3.648939     0.048    0.00       1.261
    950.0     1.525       3.468096     0.051    0.00       1.525
    900.0    -2.255       2.622698     0.053    0.00       1.507
    850.0    -5.786       1.850479     0.056    0.00       1.519
    800.0    -9.307       1.183348     0.057    0.00       1.607
    750.0   -12.885       0.617173     0.059    0.00       1.601
    700.0   -16.683       0.347495     0.060    0.00       1.509
    650.0   -21.071       0.206452     0.061    0.00       1.373
    600.0   -25.836       0.106009     0.063    0.00       1.185
    550.0   -31.127       0.073061     0.066    0.00       0.989
    500.0   -37.125       0.047454     0.069    0.00       0.891
    450.0   -43.877       0.069781     0.073    0.00       0.900
    400.0   -51.328       0.088043     0.077    0.00       0.795
    350.0   -59.498       0.018325     0.085    0.00       0.675
    300.0   -68.251       0.007027     0.096    0.00       0.428
    250.0   -73.824       0.003646     0.117    0.00       0.173
    200.0   -71.356       0.001000     0.153    0.00       0.063
    150.0   -71.849       0.001000     0.202    0.00       0.003
    100.0   -70.398       0.001000     0.405    0.00      -0.014
     80.0   -67.193       0.001000     0.755    0.00      -0.030
     60.0   -59.697       0.001000     2.042    0.00      -0.067
     40.0   -49.763       0.001000     5.238    0.00      -0.117
     30.0   -41.859       0.001000     8.440    0.00      -0.156
     25.0   -26.234       0.001000    10.124    0.00      -0.235
